,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 Total Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.3 Total Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.4 Total Costs,A.4_Expected Number of Deaths,A.4_Expected Annual Damage,A.5 Total Costs,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,7,2,5,4,0,3,8,8,1,3,9,7,3,7,6,188303187.5061465,0.0,0.0,108083458.32956028,0.0,0.0,120818752.94409646,0.0,0.0,49865841.98299449,0.0,0.0,136711771.50693655,0.0012482235063046145,1123249.345728516,1511300000.0,0.0
1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,3,5,3,9,3,4,4,8,7,1,7,7,5,6,7,7,215560006.5438065,0.0,0.0,174367466.21609122,0.0,0.0,115662311.51581296,0.0,0.0,50022004.30424159,0.0,0.0,170059624.36428666,0.0010022439233041956,7321082.817223407,704500000.0,553.5662841124433
2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,4,0,9,7,5,5,10,7,5,10,1,3,4,2,0,0,177463406.45857722,0.0,0.0,268958260.9516356,0.0,0.0,136828665.85715145,0.0,0.0,26910580.784418784,6.178771962002437e-05,757660.7882597678,124405121.68884075,0.012862434920852144,96826891.7211855,1315200000.0,8834.445746580444
3,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,4,7,1,8,0,0,6,1,5,3,1,9,4,1,0,173103375.1786149,0.0,0.0,81277411.11097889,0.0,0.0,92666736.39115658,0.0,0.0,36198674.08227548,0.0,0.0,85055205.70369875,0.026019941895629214,23039265.09764574,710400000.0,0.0
4,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,10,2,5,8,10,2,2,7,0,7,5,9,4,2,3,228015577.4745766,0.0,0.0,289891425.0881098,0.0,0.0,58768098.74581756,0.0,0.0,55419981.25210799,0.0,0.0,103397210.36332726,0.0015133214764847004,1343928.660111631,660100000.0,0.0
5,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,10,1,0,5,2,2,5,1,5,2,7,7,0,4,3,140858582.2512416,0.0,0.0,164233797.24580663,0.0,0.0,88041933.47495925,0.0,0.0,42062624.8918702,0.00012521302046833484,180099.94735371802,103607988.42748317,0.03859493224910794,35513270.66472689,1041800000.0,0.0
6,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,4,2,9,0,1,6,3,0,1,4,1,2,3,4,0,3,128446235.06223166,0.0,0.0,169662502.8868311,0.0003685395576487937,2586705.0618330874,52457780.70639433,0.0012806364138848547,4852887.465988279,23253361.287507407,0.0,0.0,68094717.76275629,0.0,0.0,1049400000.0,504.60045429825146
7,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,2,3,10,2,9,1,8,6,10,8,1,2,9,9,10,5,205147094.061418,0.0,0.0,255476224.15397054,0.0,0.0,149317631.36829305,0.0,0.0,34679585.73141969,6.91515225359122e-05,707803.6966721126,201278347.8730189,0.0,0.0,747000000.0,47.00529719548576
8,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,4,5,3,2,6,2,4,0,1,0,3,5,3,7,1,166809149.72620058,0.0,0.0,172077462.62975118,0.0011163982558677434,2599856.7229275885,49622725.1402255,0.0,0.0,22656560.06767277,0.00042650378675472697,1960477.5813768317,130368058.00499418,0.006473153431809804,16100506.539452553,1184300000.0,766.9640573817128
9,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,4,1,10,0,6,3,3,2,7,5,3,1,3,1,8,9,131052131.21815366,0.0,0.0,189309949.4694295,0.0,0.0,97735277.85074407,0.0,0.0,25113995.726980142,0.0,0.0,195338532.617028,0.006366508243184132,48312888.28470502,966500000.0,4414.445059580721
10,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,3,2,2,6,6,7,9,2,10,2,3,6,6,5,3,6,146551506.34123784,0.0,0.0,295020999.94654614,0.0,0.0,102632690.0565923,0.0,0.0,39405493.65563989,0.0,0.0,125274415.78297171,0.0,0.0,1193700000.0,0.0
11,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,4,5,9,3,3,5,5,2,6,2,0,8,10,6,8,6,222528075.49805373,0.0,0.0,191285353.95062754,0.0,0.0,84753354.03552133,0.0,0.0,44787491.102102086,0.0001483108358355592,2007839.7397969908,164025579.19994083,0.0,0.0,1215000000.0,202.03089179949794
12,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,4,10,8,8,7,1,6,0,8,5,1,10,5,0,3,2,341570554.67310494,0.0,0.0,208114696.50811112,0.0,0.0,83388226.03728054,0.0022157911158520944,8423554.358250517,43587358.230948105,1.3382761000001708e-05,167433.8555719912,99356981.60388625,0.00502130289760171,38502405.14729375,575500000.0,4110.1387573116535
13,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,3,1,0,4,3,2,7,1,4,5,4,3,2,5,9,6,82177854.37813279,0.0,0.0,181929770.05412728,0.0,0.0,81671571.53417823,0.0,0.0,28640895.65434783,0.0,0.0,175983371.6606223,0.0016391185053737524,12012775.302503828,1263000000.0,910.9010391282507
14,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,3,9,7,0,10,3,10,3,6,5,5,4,6,9,7,238575866.18921262,0.0,0.0,170836315.15044904,0.0050217801181148694,4362761.428082042,126673650.6752804,0.0,0.0,37729292.17227027,0.0,0.0,178405963.2569629,0.0,0.0,1027900000.0,0.0
15,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,6,7,5,2,0,6,6,6,5,4,5,0,8,8,10,227611503.21716845,0.0,0.0,114640521.00912102,0.00016959546093315092,1186249.1149237265,112910645.1005051,0.0,0.0,22356212.824753046,0.0,0.0,211465475.07636937,0.0,0.0,351800000.0,78.0099354811029
16,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,4,6,6,4,4,3,4,6,3,4,3,8,0,7,5,3,206605892.4244883,0.0,0.0,175590686.05903777,0.0,0.0,96728143.1732024,0.0,0.0,26270762.1853038,0.0,0.0,136019723.41879478,0.0,0.0,1081800000.0,0.0
17,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,4,5,1,2,0,6,2,4,3,8,7,3,1,195988468.25188863,0.0,0.0,157033933.49482566,0.0,0.0,73382741.66633745,0.03260397661231236,14864753.646790002,39745013.73511774,0.0,0.0,117628654.87407616,0.0,0.0,538900000.0,0.0
18,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,2,9,5,7,0,7,1,8,6,10,10,7,7,7,4,6,267360312.84345895,0.0,0.0,126064478.10269576,0.0007532670177172305,4362761.428082042,149139097.7548799,0.0,0.0,65589913.53881036,0.0,0.0,144703237.59680128,0.0,0.0,941000000.0,233.40655728259222
19,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,2,0,4,8,7,4,2,10,2,2,9,2,2,3,6,7,135122680.3738662,0.0,0.0,202787589.59060603,0.0,0.0,108411807.24936754,0.0,0.0,38675796.47343463,0.0,0.0,135818035.99963063,0.00018723352594569222,1123249.345728516,952800000.0,69.89510620770143
20,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,2,0,0,6,5,8,3,0,3,3,0,6,0,4,90462322.17815001,0.0,0.0,146540405.94313502,0.0032881447247880636,7815444.128068119,68945584.72862397,0.0,0.0,17803345.000196747,0.0,0.0,81105853.85915002,0.0,0.0,492600000.0,250.69354573586944
21,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,3,4,9,8,10,8,1,8,2,7,1,8,4,9,8,203087197.39429393,0.0,0.0,360305461.2225859,0.0,0.0,88853714.28353907,0.0,0.0,43335287.655236766,0.0,0.0,169141107.33684748,0.0,0.0,1798100000.0,0.0
22,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,4,10,9,0,6,8,1,6,4,3,6,8,1,3,4,2,214421078.7172051,0.0,0.0,226692975.3372218,0.0,0.0,97560849.40717193,0.0,0.0,42410729.19585196,0.0,0.0,119315793.38585344,0.0023099295107848273,17156404.65434999,1245700000.0,1535.0380553265488
23,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,4,10,6,3,6,3,4,0,2,9,0,1,9,3,9,0,252469985.30422038,0.0,0.0,196773491.64330485,0.0,0.0,74051749.79836433,0.002229406913823127,8452171.112522256,27289596.229106575,0.00016445928745067317,2204716.9626948573,101224863.57161744,0.0016242726256867782,12126307.554005815,1268900000.0,1842.957912442354
24,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,4,5,7,0,7,3,4,7,2,1,1,10,4,8,5,2,134576627.39671084,0.0,0.0,208510939.35564178,0.0,0.0,89734451.95909594,0.0,0.0,43720871.89828397,0.00018474202264940758,2288726.242642707,139135332.44827017,0.0,0.0,619900000.0,214.34634925626858
25,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,7,6,1,0,6,3,0,7,0,5,1,10,5,6,1,195559644.92531753,0.0,0.0,132288286.31629013,0.0032053305912726113,7714406.50668932,34221561.73832255,0.0,0.0,43483232.844245195,0.0,0.0,120550622.838325,0.0,0.0,1081800000.0,248.39944175432493
26,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,2,10,6,0,3,4,3,3,9,1,2,1,6,1,3,10,180071436.58084375,0.0,0.0,167388993.22428545,0.0,0.0,99493932.7291793,0.0,0.0,28013555.24906633,0.0,0.0,181613338.33871138,0.009703670052858703,58642109.30755143,779400000.0,3681.1167369956956
27,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,4,5,6,9,3,5,8,1,3,4,10,10,2,8,3,191741152.90746433,0.0,0.0,243641603.23841816,0.0,0.0,96586907.39471743,0.0,0.0,65639698.03911768,0.0,0.0,179360913.9382607,0.007684436626116361,57478226.5966025,673800000.0,4434.248660993448
28,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,3,0,2,7,7,1,1,9,2,5,8,4,7,9,10,3,110130504.5881955,0.0,0.0,171741383.20257318,0.0,0.0,112280141.21176554,0.0,0.0,50138122.952151224,0.0,0.0,189301999.71748805,0.0,0.0,1343800000.0,0.0
29,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,3,10,2,6,10,1,0,9,8,4,6,0,8,3,1,5,238109896.81908917,0.0,0.0,153043288.8271728,0.0,0.0,137803809.71631178,0.0,0.0,32293439.297215313,0.0,0.0,127482323.27350552,0.003706357309887656,27485625.6771964,825700000.0,2105.183058516959
30,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,7,5,2,10,3,7,6,5,4,3,2,3,7,0,5,192179322.23964384,0.0,0.0,279947285.04054135,0.0,0.0,104839363.0891209,0.0,0.0,26562940.128449157,0.0,0.0,90595441.88119246,0.0,0.0,1218600000.0,0.0
31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,10,1,2,8,4,0,2,1,9,8,9,8,6,156636494.31099015,0.0,0.0,180948627.2931366,0.0012125546882447687,8524627.616198778,51760044.33566119,0.0,0.0,47626715.11114761,0.0,0.0,189990468.570464,0.0,0.0,546500000.0,655.0780166557713
32,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,8,4,8,8,8,1,1,4,8,10,10,4,3,8,138903029.16673058,0.0,0.0,326758504.6575533,0.0,0.0,69530880.80245753,0.0,0.0,80101051.1366488,0.0,0.0,139738361.6860091,0.011636898325856904,10329221.022846406,948600000.0,0.0
33,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,7,9,10,1,6,8,10,3,0,9,3,1,0,8,0,338825824.16778654,0.0,0.0,213853475.2976504,0.0007924036446493483,4477358.437828632,78076271.50241311,0.0,0.0,39042154.93529074,0.0,0.0,125833411.79106453,0.01254007741411304,77369710.09387273,966500000.0,5213.442569003802
34,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,4,3,5,6,0,0,7,8,4,5,9,1,7,8,3,2,181430221.6229285,0.0,0.0,88663433.18722425,0.0021148032919109548,15347982.916275602,114930905.59223258,0.0,0.0,46653655.91965508,0.0,0.0,128085430.09509656,0.0,0.0,862300000.0,1191.0061632782158
35,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,2,6,3,6,1,4,10,6,8,8,6,2,1,4,10,157526865.96009347,0.0,0.0,180339828.74769464,0.0,0.0,151980593.04860815,0.0,0.0,44312935.00101535,0.0,0.0,151907770.18652695,0.009271681652653675,23533652.03139569,946900000.0,896.453472858781
36,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,4,8,0,1,4,3,9,7,4,5,6,0,10,7,9,1,119076882.10729173,0.0,0.0,221937904.70211324,0.0,0.0,109301871.02003656,0.0,0.0,37523813.06187063,0.0,0.0,154252360.6860682,0.0,0.0,698400000.0,0.0
37,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,4,9,5,7,8,9,2,1,0,2,10,5,6,9,8,0,267360312.84345895,0.0,0.0,274827666.7696636,0.0,0.0,43224599.14167526,0.0,0.0,56708036.12401371,0.0,0.0,118690351.82955475,0.0,0.0,1112500000.0,0.0
38,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,9,0,1,2,0,5,5,1,6,7,3,1,7,0,5,129503908.60174897,0.0,0.0,107538317.34594075,0.0005038615767870274,1180240.5912077283,91223155.81153396,0.0,0.0,33801522.61574014,0.0,0.0,90595441.88119246,0.0,0.0,1164700000.0,37.68657282669983
39,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,8,2,1,8,7,9,2,1,4,6,6,8,6,9,8,170794802.51155043,0.0,0.0,326169275.3316251,0.0,0.0,73081697.03731254,0.0,0.0,52092913.614555925,0.0,0.0,185474531.0912602,0.0,0.0,974500000.0,0.0
40,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,2,2,1,1,9,10,7,0,5,3,3,1,6,8,9,114498063.14503726,0.0,0.0,273135830.13696086,0.0010786697156429748,2553825.909096834,70656192.99188861,0.0,0.0,25535950.208077375,0.0,0.0,184578252.59735072,0.0,0.0,1033800000.0,81.81927787678916
41,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,2,9,4,3,4,2,0,1,5,1,10,3,9,3,7,8,215464061.7912341,0.0,0.0,102336429.85235605,0.0,0.0,74915058.04785539,0.0,0.0,60295958.31009933,0.0,0.0,164205554.44823897,0.0028874118884810347,17156404.65434999,1299600000.0,1059.0765803795184
42,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,4,6,10,7,3,2,6,3,8,10,2,10,8,6,10,3,293714389.622236,0.0,0.0,173329410.61581492,0.0,0.0,129423366.2307505,0.0,0.0,53242025.35183002,0.0,0.0,163403124.9832278,0.0,0.0,881900000.0,0.0
43,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,7,1,5,8,5,8,8,10,10,2,2,6,0,6,109503342.08350585,0.0,0.0,247507906.83816773,0.0,0.0,161759937.5958346,0.0,0.0,41617641.01798497,0.0,0.0,104184980.145413,0.002505609808260489,14642165.634446815,581600000.0,891.1578437416229
44,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,4,6,9,10,3,9,9,4,9,3,2,3,3,4,4,236613210.02417743,0.0,0.0,305758366.0608311,0.0,0.0,139188043.52310187,0.0,0.0,26562940.128449157,0.0,0.0,114884879.64428867,0.0009046516313356017,5388961.257575925,529200000.0,333.37369840343854
45,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,0,1,5,3,2,5,5,0,6,4,0,5,5,1,10,88511693.9986257,0.0,0.0,165480625.60161948,0.0,0.0,65941184.48239788,0.0,0.0,22356212.824753046,0.0,0.0,143820011.02623165,0.0010787282677329232,6355022.037399667,1043500000.0,389.476310137125
46,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,5,1,2,5,5,0,2,6,1,8,10,1,2,7,0,138224973.7108429,0.0,0.0,129688488.72986558,0.0,0.0,82308580.90047325,0.0,0.0,54352316.12688564,0.0,0.0,79266506.77389437,0.0017533799878518721,4422900.477752184,1426700000.0,167.01505455872126
47,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,3,7,10,1,5,4,6,0,4,2,2,9,8,4,8,10,246347897.01180154,0.0,0.0,211895698.4272849,0.0,0.0,52855823.747245066,0.000286459710443471,1095779.411583878,50049453.472810656,0.0,0.0,175879835.578004,0.0,0.0,1336200000.0,59.78699621875158
48,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2,7,4,0,5,0,8,0,2,2,2,3,7,3,9,174873675.86822036,0.0,0.0,67144716.96170437,0.0032218934179757044,7734614.030965083,66289265.72651896,0.0,0.0,24843241.294171907,0.0,0.0,156917600.89639413,0.0,0.0,991100000.0,248.85826255063392
49,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,2,9,9,0,0,10,5,1,1,5,4,9,8,1,9,1,200635768.54993573,0.0,0.0,187034493.79949057,0.0007571806804104429,4374221.129056702,72092374.52729654,0.0,0.0,55381825.833826095,0.0,0.0,122499430.2953454,0.00121314992677914,7497711.829598003,1408800000.0,715.7281933273794
50,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,8,2,0,0,0,9,2,7,10,8,4,7,3,4,6,125043551.49815606,0.0,0.0,105501649.31203975,0.006476912489357582,15509643.110481678,118595547.12967968,0.0,0.0,50138122.952151224,0.0,0.0,148213233.4842503,0.012033407095353329,29992056.281238038,922300000.0,1620.0951373359378
51,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,4,5,4,3,5,3,3,1,8,4,6,5,3,4,3,8,167798331.6592725,0.0,0.0,178602057.87410635,0.0,0.0,95697521.54615131,0.00029449108934702004,1112659.215252751,38360931.261942774,0.0,0.0,129409140.66316271,0.0,0.0,914500000.0,69.92581164803322
52,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,6,6,1,7,9,3,6,1,9,3,5,5,0,0,1,183927748.79206374,0.0,0.0,269071497.4917691,0.0,0.0,107609124.68259513,0.0,0.0,35178390.70727274,0.0,0.0,116909550.12679994,0.03597044140894241,91872336.04062621,970100000.0,3528.94310216185
53,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,4,3,4,8,2,2,3,9,5,5,9,0,5,8,10,8,191744677.10089743,0.0,0.0,143928116.98000792,8.397692946450457e-05,590120.2956038641,125671933.25239167,0.0,0.0,33121261.295656584,0.0,0.0,213313132.325326,0.0,0.0,606200000.0,45.34165793212323
54,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,7,5,5,10,6,2,8,1,7,9,2,8,7,0,2,217198541.196981,0.0,0.0,265245450.30840817,0.0,0.0,110149768.52261496,0.0,0.0,51377244.918871015,0.0,0.0,79084435.94406682,0.0,0.0,898900000.0,0.0
55,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,4,2,0,3,5,4,4,0,3,2,9,0,6,8,2,8,82486364.32617709,0.0,0.0,194729524.96807855,0.0,0.0,63657313.57021159,0.003948491427440733,14940445.904107843,35174846.225991,0.0,0.0,152364025.84027588,0.0,0.0,1024800000.0,940.3961356978326
56,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,2,10,1,1,9,10,0,1,6,9,0,9,6,0,1,187904775.2020421,0.0,0.0,273148981.79805535,0.003026248051567603,2566977.5701913354,53873631.77932667,0.0024142975835793334,1102622.6491422695,42694877.954259455,0.0,0.0,70903162.7249229,0.0,0.0,741100000.0,0.0
57,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,4,6,5,3,8,1,8,0,0,9,6,3,7,3,6,192825296.71907866,0.0,0.0,193086663.5218269,0.0,0.0,37285037.900559425,0.0,0.0,49168020.20492415,0.0,0.0,138949625.56974256,0.0,0.0,1474700000.0,0.0
58,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,2,3,5,5,5,0,7,7,3,10,6,4,1,1,5,146332417.8631447,0.0,0.0,129688488.72986558,0.0,0.0,116249574.74914324,0.0,0.0,54594201.10078902,0.0,0.0,106460289.15020797,0.0026690046612033794,16304269.894020088,1006700000.0,1033.2653757433952
59,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,9,1,4,6,0,8,1,0,1,0,9,6,10,6,166624069.06170735,0.0,0.0,128904282.88717857,0.0,0.0,63844492.59147088,0.0,0.0,25084879.266411718,0.0,0.0,180388781.6587057,0.0,0.0,1126000000.0,0.0
60,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,4,4,1,1,7,3,0,7,0,7,8,3,6,9,4,0,123922014.83441225,0.0,0.0,133844205.0086204,0.0,0.0,77517373.55736606,0.0,0.0,45383863.52386017,0.0,0.0,98276657.88104485,0.0,0.0,931300000.0,0.0
61,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7,1,1,5,10,6,0,10,8,4,9,3,6,9,2,152281136.071976,0.0,0.0,286468737.9512222,0.0,0.0,111254182.59217924,0.03260397661231236,14864753.646790002,43533038.52735107,0.0,0.0,150902196.47397175,0.0,0.0,369700000.0,0.0
62,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,3,3,10,1,10,8,7,1,10,4,8,0,0,5,3,7,198088902.39533293,0.0,0.0,347492281.497692,0.0,0.0,104234972.60560922,0.0,0.0,16108916.742160894,0.0,0.0,136758132.26687348,0.0008629826141863383,6355022.037399667,1245700000.0,483.86703941741655
63,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,2,6,0,8,1,10,4,4,4,0,4,1,3,6,8,1,154058455.93250468,0.0,0.0,222866906.08797282,0.0007924036446493483,4477358.437828632,56604892.31464201,0.0,0.0,26925089.941019837,0.0,0.0,139637581.15022177,0.0,0.0,1184300000.0,237.7262438437357
64,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,3,6,9,0,8,8,2,0,6,0,0,2,8,2,1,0,165026199.05882242,0.0,0.0,260920804.81464723,0.0,0.0,39850968.83123387,0.002229406913823127,8452171.112522256,26049321.18385661,0.00010806031915672768,1488603.750758136,119583210.05216861,0.008711144821212423,65227445.30463741,1353500000.0,5624.309778772692
65,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,3,6,10,8,1,7,8,2,1,2,4,5,3,7,2,8,307683585.4241487,0.0,0.0,228325136.84772456,0.0011236529527678387,7916481.749446918,68396931.50504743,0.0,0.0,33794538.7241683,0.0,0.0,144660785.05673954,0.0,0.0,982100000.0,521.7870275421664
66,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,10,7,3,10,10,9,5,4,7,8,4,3,5,2,10,265329366.2663908,0.0,0.0,415012989.911407,0.0,0.0,106337197.36717674,0.0,0.0,41445468.94250385,0.0,0.0,149257841.46955147,0.0008629826141863383,6355022.037399667,492600000.0,483.86703941741655
67,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,4,6,0,0,7,8,4,9,0,10,7,3,1,5,0,10,60717312.84309486,0.0,0.0,264470537.7000501,0.0,0.0,100436499.7544393,0.0,0.0,33801522.61574014,0.0,0.0,118205982.79526007,0.0017259652283726765,12710044.074799335,928200000.0,1129.023091973972
68,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,3,1,7,2,8,10,1,7,7,0,0,1,5,3,3,1,151906735.46309224,0.0,0.0,281518245.66532326,0.0,0.0,77517373.55736606,0.0,0.0,20491754.347070385,0.0002047098041295047,2723952.951733712,110651992.46022907,0.0021577178106032685,16100506.539452553,948600000.0,1471.4448741232907
69,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,4,8,9,4,5,0,7,8,2,10,0,1,10,0,1,0,272567958.4585744,0.0,0.0,146137633.1823734,0.0,0.0,128161069.21248503,0.0,0.0,27551418.423158865,1.1086477966755422e-05,149729.38401447047,66524294.579391964,0.005395398741285711,41487080.493218236,1372800000.0,3861.1561301447646
70,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,3,9,5,5,5,3,8,10,8,3,1,4,10,6,1,2,244684931.93610114,0.0,0.0,222347815.0042441,0.0,0.0,140693267.66875386,0.0,0.0,40460669.02125585,0.0,0.0,105794085.12385008,0.0,0.0,1208900000.0,0.0
71,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,2,0,0,4,0,10,10,5,4,8,9,0,0,9,9,7,47847947.961454235,0.0,0.0,246469160.85132402,0.0013217520574443466,7673991.458137801,110482394.19032484,0.0,0.0,18144080.211109996,0.0,0.0,205895970.1338907,0.0,0.0,1249300000.0,410.85845729970924
72,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,3,7,5,7,10,5,2,6,8,0,3,4,8,2,3,10,238400207.85263282,0.0,0.0,253538853.41532838,0.0,0.0,77011768.24793184,0.0,0.0,39557216.675477244,0.0,0.0,133281634.47743803,0.0005844599959506241,4422900.477752184,1293500000.0,344.46855002736265
73,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,10,2,1,6,4,5,9,9,1,1,10,7,6,8,7,196171382.13390362,0.0,0.0,214456647.0653237,0.0,0.0,132722936.02058265,0.0,0.0,48798179.59052369,0.0005148976635002032,757660.7882597678,170299811.48758364,0.0,0.0,741100000.0,0.0
74,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,2,3,8,4,4,1,0,4,10,9,9,7,8,4,8,3,195925952.32948506,0.0,0.0,97105266.60422453,0.0,0.0,141978983.73517856,0.0,0.0,65018302.87799822,0.0,0.0,144565837.30466363,0.001745534748878536,10329221.022846406,1337900000.0,635.4362981615943
75,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,10,3,6,3,8,0,9,2,8,3,2,8,3,6,0,248262493.766037,0.0,0.0,138345161.320976,0.0007340077872904932,605141.6048938611,124561631.23797515,0.0,0.0,35618922.051579095,0.0,0.0,80011303.14897798,0.005701742853088014,5114863.944041622,1236500000.0,0.0
